part,electrodes_n,shank_lenght_mm,shanks_n,shank_thickness_um,electrodes_total,electrodesPerShank_n,electrodesCustomPosition,ElectrodeShape,electrodeWidth_um,electrodeHeight_um,electrodeImpLow_kOhm,ElectrodeImpHigh_kOhm,OptoSafe,shankBaseWidth_um,shankTipWidth_um,probeShape,electrode_yShiftCol,electrode_distrib_shape,electrode_cols_n,electrode_rows_n,shankSpacing_um,electrodeSpacingWidth_um,electrodeSpacingHeight_um,electrodeSpanWidth_um,electrodeSpanHeight_um,ASSY-1,ASSY-37,ASSY-77,ASSY-79,ASSY-116,ASSY-156,ASSY-158,ASSY-276,ASSY-196,ASSY-236
H1,64,8,2,15,64,32,,rect,5,5,250,350,TRUE,55,55,-10 135 -10 -10 22 -65 49.5 -10 49.5 135,0 0 0 0,linear,4,8,250,9,9,26,65,,,TRUE,,,TRUE,,,,TRUE
H1b,32,8,1,15,32,32,,rect,5,5,250,350,TRUE,55,55,-10 135 -10 -10 22 -65 49.5 -10 49.5 135,0 0 0 0,linear,4,8,0,9,9,26,65,,TRUE,,,TRUE,,,,,
H2,64,8,2,15,64,32,,rect,11,15,50,50,TRUE,50,50,-10 800 -10 -10 11 -28 18 -10 44.5 800,0,linear,1,32,250,0,25,11,790,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE
H3,64,8,1,15,64,64,,rect,11,15,50,50,TRUE,78,78,-10 1350 -10 -10 11 -28 18 -10 74.5 1350,0,linear,1,64,0,0,20,11,1275,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE
H4,32,8,1,15,32,32,,rect,11,15,50,50,TRUE,50,50,-10 800 -10 -10 11 -28 18 -10 44.5 800,0,linear,1,32,0,0,25,11,790,,TRUE,,,TRUE,,,,,
H5,64,9,1,15,64,64,,rect,11,15,50,50,TRUE,76,50,-10 900 -10 -10 11 -28 20 -10 72.5 900,0 12.5,linear,2,32,0,22.5,25,33.5,800,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE
H6,64,9,2,15,64,32,,rect,11,15,50,50,TRUE,60,60,-10 450 -10 -25 11 -65 32 -25 56.5 450,0 12.5,linear,2,16,250,22.5,25,33.5,400,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE
H6b,32,9,1,15,32,32,,rect,11,15,50,50,TRUE,60,60,-10 450 -10 -25 11 -65 32 -25 56.5 450,0 12.5,linear,2,16,0,22.5,25,33.5,400,,TRUE,,,TRUE,,,,,
H7,64,9,2,15,64,32,-20.0 25.0 -20.5 75.0 -21.0 125.0 -21.5 175.0 -22.0 225.0 -22.5 275.0 -23.0 325.0 -23.5 375.0 -24.0 425.0 -24.5 475.0 -25.0 525.0 -25.5 575.0 -26.0 625.0 -26.5 675.0 -27.0 725.0 -27.5 775.0 0.0 0.0 0.5 50.0 1.0 100.0 1.5 150.0 2.0 200.0 2.5 250.0 3.0 300.0 3.5 350.0 4.0 400.0 4.5 450.0 5.0 500.0 5.5 550.0 6.0 600.0 6.5 650.0 7.0 700.0 7.5 750.0,rect,11,15,50,50,TRUE,60,60,-45.0 825.0 -30.0 0.0 -10.0 -65.0 5.0 0.0 20.0 825.0,0 -25,Vshaped,2,16,250,52,50,63 33,775,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE
H7b,32,9,1,15,32,32,-20.0 25.0 -20.5 75.0 -21.0 125.0 -21.5 175.0 -22.0 225.0 -22.5 275.0 -23.0 325.0 -23.5 375.0 -24.0 425.0 -24.5 475.0 -25.0 525.0 -25.5 575.0 -26.0 625.0 -26.5 675.0 -27.0 725.0 -27.5 775.0 0.0 0.0 0.5 50.0 1.0 100.0 1.5 150.0 2.0 200.0 2.5 250.0 3.0 300.0 3.5 350.0 4.0 400.0 4.5 450.0 5.0 500.0 5.5 550.0 6.0 600.0 6.5 650.0 7.0 700.0 7.5 750.0,rect,11,15,50,50,TRUE,60,60,-45.0 825.0 -30.0 0.0 -10.0 -65.0 5.0 0.0 20.0 825.0,0 -25,Vshaped,2,16,0,52,50,63 33,775,,TRUE,,,TRUE,,,,,
